Image ID,Quiz,Original Supplied Filename,Stable Archive Filename,Role,Width px,Height px,SHA-256,Alt Text / Description,Notes
IMG-ED-001,Early Days,2026-07-19_17-10-52.png,early-days/page-captures/page-001-early-days-live-resource.png,Live resource page capture,851,1705,2bc4482d5d66e8d3ee99146aa03d61f0ea75a5ff65266f5eebb8f0dddb6eb744,Lititz BMX Early Days history quiz page showing the published quiz followed by the supporting Early Days article.,Primary supplied live-page capture.
IMG-ED-002,Early Days,unnamed (77).png,early-days/source-images/source-001-early-days-quiz-master.png,Quiz master image,857,1080,42c7bcd117c1e61406e20dc836e91768efc3ed5739c480cccb1f77f1d0092412,BMX History Quiz: The Early Days with five questions and one extra-credit question.,Standalone supplied quiz image.
IMG-ED-003,Early Days,2026-07-19_17-10-28.png,early-days/source-images/source-002-early-days-article-scan.png,Supporting article scan,783,1013,45d7497e71d43815a4773bef238ba4d095b81ad1f5211b266691e0c97530b05e,"Scanned BMX history article titled The Early Days with sections on frames, riders, and tracks.",Article ends mid-sentence at the bottom of the supplied scan.
IMG-ED-004,Early Days,2026-07-19_17-11-11.png,early-days/source-images/source-003-early-days-quiz-and-article-composite.png,Composite source image,587,1512,13a9dc6debe6d19df2703006c15ccaa4e0ddec057d7175989743c65526f9b692,Composite image containing the Early Days BMX history quiz and its supporting article.,Preserved as supplied even though it overlaps other records.
IMG-77-001,1977,2026-07-19_17-21-13.png,1977/page-captures/page-001-1977-live-resource.png,Live resource page capture,918,1409,f6c4c0b08fbd35e6495c2f8fd25e2d82ad5f6e615df2a2b67f215f3ad186723c,"Lititz BMX 1977 history quiz page showing the quiz, supporting two-page article, and navigation links.",Primary supplied live-page capture.
IMG-77-002,1977,unnamed (78).png,1977/source-images/source-001-1977-quiz-master.png,Quiz master image,861,1080,660a71a490ef35cca8c3e4af5644375a5ffe552e6d76af41e094ad33ee2ea0bb,BMX History Quiz: 1977 with five questions and one extra-credit question.,Standalone supplied quiz image.
IMG-77-003,1977,2026-07-19_17-21-57.png,1977/source-images/source-002-1977-bmx-action-article-spread.png,Supporting article spread,1810,1188,6705913ac28ac65ae305264578478e4177d327c73bbf9e7d0a6eae3f244a3607,"Two-page BMX Action retrospective about 1977 covering pro racing, downhill tracks, FMF, Speedo forks, Donny Jones, Charlie Narly, and JT gear.","BMX Action, December 1986, pages 30–31."
IMG-1978-001,1978,2026-07-19_17-45-50.png,1978/source-images/source-001-1978-bmx-action-spread.png,Supporting source image,1787,1197,542a9884876e83d6cabede99342a0d21b0ea5ace0a4b71665be1444070a06a8c,"Two-page BMX Action retrospective spread; December 1986, pp. 32–33.","Two-page BMX Action retrospective spread; December 1986, pp. 32–33."
IMG-1978-002,1978,unnamed (79).png,1978/source-images/source-002-1978-quiz.png,Standalone quiz image,864,1080,bd6017ced6501674e9cb9a5df0e79d78bd19c9b92cc7c08f945d9bc608b37ab1,Published 1978 quiz image.,Published 1978 quiz image.
IMG-1978-003,1978,2026-07-19_17-45-18.png,1978/page-captures/page-001-1978-learning-resource.png,Live-page capture,913,1499,37f47e2a8c897e0e3b070300173937d0716ca98868b12ae8eae633135fae4020,"Google Sites page showing quiz, source article images, and navigation.","Google Sites page showing quiz, source article images, and navigation."
IMG-1979-001,1979,2026-07-19_17-59-28.png,1979/source-images/source-001-1979-bmx-action-spread.png,Supporting source image,1805,1192,847ffcc61279680b68e139e491f6882cba4283fb9b6cf41a40acbbf59a802db6,"Two-page BMX Action retrospective spread; December 1986, pp. 34–35.","Two-page BMX Action retrospective spread; December 1986, pp. 34–35."
IMG-1979-002,1979,unnamed (80).png,1979/source-images/source-002-1979-quiz.png,Standalone quiz image,864,1080,750388460fd9ed2951ab686e687dd064b8546557a2d56d09631501f74aebbd51,Published 1979 quiz image.,Published 1979 quiz image.
IMG-1979-003,1979,2026-07-19_17-58-54.png,1979/page-captures/page-001-1979-learning-resource.png,Live-page capture,937,1512,ec30dc4c30f3fff06c6fd0529e2c2e7c4697c42429bba29858c523c5022aef10,"Google Sites page showing quiz, source article images, and navigation.","Google Sites page showing quiz, source article images, and navigation."
IMG-1980-001,1980,2026-07-19_18-02-57.png,1980/source-images/source-001-1980-bmx-action-spread.png,Supporting source image,2048,1311,97c8fb1539abd8a86ee5c3e53ee5cb8b77852662c541721d9b2f05d12f023da3,"Two-page BMX Action retrospective spread; December 1986, pp. 36–37.","Two-page BMX Action retrospective spread; December 1986, pp. 36–37."
IMG-1980-002,1980,unnamed (81).png,1980/source-images/source-002-1980-quiz.png,Standalone quiz image,859,1080,098ae739147f52e85ee02488d3617d2fcbd97350965626cbcedc8a7bac55a0f1,Published 1980 quiz image.,Published 1980 quiz image.
IMG-1980-003,1980,2026-07-19_18-02-27.png,1980/page-captures/page-001-1980-learning-resource.png,Live-page capture,945,1500,9947981c27c0a6ed0c2307047cf9e9a92c7f1a8d36eab430e0a0a313d4b46c4f,"Google Sites page showing the quiz, supporting article pages, and navigation.","Google Sites page showing the quiz, supporting article pages, and navigation."
IMG-1981-001,1981,2026-07-19_18-21-09.png,1981/source-images/source-001-1981-bmx-action-spread.png,Supporting source image,2048,1336,5ee6553372ae2945747a557c3b82dd6ffb0699e910ab20b5ed3c71c20c35b184,"Supplied two-page BMX Action 1981 retrospective spread; publication sequence indicates December 1986, approximately pp. 38–39. The top of the right page is cropped in the supplied source.","Supplied two-page BMX Action 1981 retrospective spread; publication sequence indicates December 1986, approximately pp. 38–39. The top of the right page is cropped in the supplied source."
IMG-1981-002,1981,unnamed (83).png,1981/source-images/source-002-1981-quiz.png,Standalone quiz image,851,1080,85efd92b894e0b40a0f023790da4df7e383a29e9a8c2adc3caacb6029348dad8,Published 1981 quiz image.,Published 1981 quiz image.
IMG-1981-003,1981,2026-07-19_18-20-30.png,1981/page-captures/page-001-1981-learning-resource.png,Live-page capture,936,1475,f863bf3e5cee483477e19ad5bdbf1198009eccf7567aa321b44c3701741e7a00,"Google Sites page showing the quiz, supporting article pages, and navigation to 1980 and 1982.","Google Sites page showing the quiz, supporting article pages, and navigation to 1980 and 1982."
IMG-1982-001,1982,2026-07-19_18-40-26.png,1982/source-images/source-001-1982-bmx-action-spread.png,Supporting source image,2047,1333,618690914044e588b1930b9158930654cdb355554681fa8748c8b80b34c2db1a,"Supplied complete two-page BMX Action 1982 retrospective spread, printed pages 42–43, December 1986.","Supplied complete two-page BMX Action 1982 retrospective spread, printed pages 42–43, December 1986."
IMG-1982-002,1982,unnamed (84).png,1982/source-images/source-002-1982-quiz.png,Standalone quiz image,862,1080,58478044ef3abb44e68ec8c2bbe6ecafb2eafd940a147e848b035f70f03b6b4d,Published 1982 quiz image.,Published 1982 quiz image.
IMG-1982-003,1982,2026-07-19_18-39-49.png,1982/page-captures/page-001-1982-learning-resource.png,Live-page capture,931,1655,7f54bbaf48d400509872b5bf30d45ccff3ce9802ec8431cb757d456e2e5cba54,"Google Sites page showing the quiz, supporting article pages, and navigation to 1981 and 1983.","Google Sites page showing the quiz, supporting article pages, and navigation to 1981 and 1983."
IMG-1983-001,1983,2026-07-19_18-54-30.png,1983/source-images/source-001-1983-bmx-action-spread.png,Supporting source image,2048,1401,0116191518d602d32da557a4c1e17ab47963ee0996ce24dc33b4f4714d899ce8,"Supplied complete two-page BMX Action 1983 retrospective spread, printed pages 44–45, December 1986.","Supplied complete two-page BMX Action 1983 retrospective spread, printed pages 44–45, December 1986."
IMG-1983-002,1983,unnamed (85).png,1983/source-images/source-002-1983-quiz.png,Standalone quiz image,863,1080,9975a3a512d362a0090bc8a62175962098b400a82863aa3e8439d08bc95d6fd6,Published 1983 quiz image.,Published 1983 quiz image.
IMG-1983-003,1983,2026-07-19_18-53-55.png,1983/page-captures/page-001-1983-learning-resource.png,Live-page capture,931,1614,261fc8fcedf1d11feee9c63a9578238fdb22eb8dad28ea4fabbc6ab3c25fc877,"Google Sites page showing the quiz, supporting article pages, and navigation to 1982 and 1984.","Google Sites page showing the quiz, supporting article pages, and navigation to 1982 and 1984."
IMG-1984-001,1984,2026-07-19_19-09-12.png,1984/source-images/source-001-1984-bmx-action-spread.png,Supporting source image,2048,1367,7da846aace1f5059e6d2fa39c3090983fb8e950e05b5a50ae46fe3041fb88961,"Supplied complete two-page BMX Action 1984 retrospective spread, printed pages 50–51, December 1986.","Supplied complete two-page BMX Action 1984 retrospective spread, printed pages 50–51, December 1986."
IMG-1984-002,1984,unnamed (86).png,1984/source-images/source-002-1984-quiz.png,Standalone quiz image,845,1080,1e44c3bf0292f1e650b198467c6a634657c6c9900bf399df8a0991c9b557ee8f,Published 1984 quiz image.,Published 1984 quiz image.
IMG-1984-003,1984,2026-07-19_19-08-30.png,1984/page-captures/page-001-1984-learning-resource.png,Live-page capture,931,1620,4f03db621a71e506379fe24aac82161c21f592827f500c1d4a3b6b71fc89785c,"Google Sites page showing the quiz, supporting article pages, and navigation to 1983 and 1985.","Google Sites page showing the quiz, supporting article pages, and navigation to 1983 and 1985."
IMG-1985-001,1985,2026-07-19_19-22-01.png,1985/source-images/source-001-1985-bmx-action-spread.png,Supporting source image,2048,1394,8112bc636a479fd8ad9b44b567325b0ca42490936106481c74f700bdfc5fcb9c,"Supplied two-page BMX Action 1985 retrospective spread, printed pages 56–57, December 1986.","Supplied two-page BMX Action 1985 retrospective spread, printed pages 56–57, December 1986."
IMG-1985-002,1985,unnamed (87).png,1985/source-images/source-002-1985-quiz.png,Standalone quiz image,860,1080,18020c10fd3c3beed32bc0d6c63c863fe8e595cf31abbd8dae57e9bf0f0baf0c,Published 1985 quiz image.,Published 1985 quiz image.
IMG-1985-003,1985,2026-07-19_19-21-26.png,1985/page-captures/page-001-1985-learning-resource.png,Live-page capture,927,1700,6084ca84a05c83f67d94446f52adf01217138cc6b2051faabd95aa59e31effe0,"Google Sites page showing the quiz, supporting article pages, and navigation to 1984 and 1986.","Google Sites page showing the quiz, supporting article pages, and navigation to 1984 and 1986."
IMG-1986-001,1986,2026-07-19_19-30-08.png,1986/source-images/source-001-1986-bmx-action-spread.png,Supporting source image,2048,1359,7072581aa842cd76e04f655ec97a2a18632da2a5ca25148113e0612234b5050b,"Supplied two-page BMX Action 1986 retrospective spread, printed pages 62–63, December 1986.","Supplied two-page BMX Action 1986 retrospective spread, printed pages 62–63, December 1986."
IMG-1986-002,1986,unnamed (88).png,1986/source-images/source-002-1986-quiz.png,Standalone quiz image,862,1080,7f407cf0275ac85444b63bd9bd435cbbbd966a31c097bcae4f3bc236a0b72ef3,Published 1986 quiz image.,Published 1986 quiz image.
IMG-1986-003,1986,2026-07-19_19-29-27.png,1986/page-captures/page-001-1986-learning-resource.png,Live-page capture,945,1674,dd37ceee2aedfaffeb514d9b280d5130bb3b5006fb2aa7685979a4b397714135,"Google Sites page showing the quiz, supporting article pages, and navigation to 1985 and Learning Resources.","Google Sites page showing the quiz, supporting article pages, and navigation to 1985 and Learning Resources."
