record_id,sequence_index,source_number,original_filename,bytes,sha256,mapping_basis
GM-001,1,1,2026-07-22_15-40-37.png,453677,a3696e040409f82718ffdc67826d9855cc1c5084002397e2bdfaf84d084e99eb,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-002,2,2,2026-07-22_15-52-45.png,385975,adbb207dc8f51fa5892a1081f4080c25484b320960ec933600ef01c23ab4ea0c,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-003,3,3,2026-07-22_15-57-49.png,262654,e752b1f3b9f73520f80843662547c71af388f6f5ac620a9152920d673a602cbd,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-004,4,4,2026-07-22_16-00-38.png,290965,f61acd0da5ecc88eef23ec828f444df805658dedff070440e3c3d0dcca23b161,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-005,5,5,2026-07-22_16-03-09.png,270941,433f29411b47db8c64eff47125dc2abb90df6995c9330e5e59a958b15fc9a97f,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-006,6,6,2026-07-22_16-10-07.png,262745,08d3d215dab5a067ce945057aa553bc96d53411895f267e4e6af84a194f05ac3,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-007,7,7,2026-07-22_16-11-46.png,255471,d7e2232ec95af7ccf314de2086084af8894462c145626ff1aeb53c756e6f3400,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-008,8,8,2026-07-22_16-13-16.png,265794,2a107c7555a84934e9e6651e56029a76bb28d1d3eca3985846846b0ad0ab5215,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-009,9,9,2026-07-22_16-15-27.png,205150,513e758147a79ab0a16f5df642add56ccdc6cf26d2d7df51d64adb85060c095d,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-011,10,11,2026-07-22_16-17-31.png,356021,ef06a63bc358c6f13ac3d1de0f2efa16b88b14fc9350246efe7255b0ef7fb16a,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-012A,11,12,2026-07-22_16-19-09.png,225520,d2f5bf759522ca983aa4d7c99247bf1ad20c24c22fd7823ce81cd8f27b30a382,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-012B,12,12,2026-07-22_16-21-03.png,396236,ca9b9409d498ceec2804a573ee2a8b31faab2c24d1f225af1403d8263ca55fdd,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-013,13,13,2026-07-22_16-22-57.png,532240,3f197029542d0c6c1191aecb9fe57f146c39ce3fe5e174321d48a8b5dd645c59,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-014,14,14,2026-07-22_16-24-29.png,400392,a18b5f1b0427c0a1f110bdc2fa7bb6bac76e9c4c9ae9a814d8ad38833834c719,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-015,15,15,2026-07-22_16-25-57.png,385606,fe1502c5cb31b358a8c2db92767bf8e14c11f073dd0b30efd8f5e1d9ae0466a4,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-016,16,16,2026-07-22_16-27-20.png,277486,7bddf0ee4d11976d38447595966b4634c2c2325d29dfb72bf3b60cf86a1b9288,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-017,17,17,2026-07-22_16-32-11.png,309313,fa8635bbc718f7d21c596c9c9f08491baaffc6301c93fd5d065fd888d6a0c788,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-018,18,18,2026-07-22_16-34-00.png,325800,299cdfa2d1538226701c01d8c16bd2863338c34c8a4dda86bb8c176583f7a262,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-019,19,19,2026-07-22_16-35-45.png,299108,c60223fb3c412f7bb0373aff821ba1a111c05d4ea95a0cbef8b0834f620fe2d3,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-020,20,20,2026-07-22_16-37-30.png,216642,60200dd8b3d2ef6f34493687b367b71ed6a81aa57e0a7ce5f202ce8fc5693baa,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-021,21,21,2026-07-22_16-39-35.png,155156,5dfab7e739196b2c50f52dc0ed5306e742dbbce65e6b0ebf97f1fb20f3025e3b,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-022,22,22,2026-07-22_16-42-06.png,251217,a498fc134d0901b55177bddda9172687ec17f5191a2f5262f51e31acc0205a00,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-023,23,23,2026-07-22_16-44-02.png,190702,da8e3d39744612f5305338062d27b4e90b133b16a772aa182951fcf07e458041,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-024,24,24,2026-07-22_16-45-53.png,324596,215710908f1b4a332cb40d3d0caec0b4f3840c88f377834b5ebd4efa4f2688ad,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-025,25,25,2026-07-22_16-47-35.png,305578,43962877021f5a42299451cd80aeded4103138bc9c2a84f78d1005ebe47d91ea,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-026,26,26,2026-07-22_16-50-44.png,268180,6e8a9430b7f762cd5b70818ee25e24722244244f62cd00835c8319339518f33e,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-027,27,27,2026-07-22_16-52-41.png,241511,c582b8ad7aca11b050cf09bf6f4bc52a3515892cb24547efece9e74ce5aa9d38,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-028,28,28,2026-07-22_16-54-18.png,341726,58d8b8220504b3511bc932ac27668bf11263322e01d16cf48be485489facf186,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-029,29,29,2026-07-22_16-56-02.png,370194,ae75d5ef61694cf4f3bade01a3517cb4c3cf81f9e0a8c2c0e2eb81d2e443e664,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-030,30,30,2026-07-22_16-59-30.png,195894,6399cca57174aa062326b33355606190974f8fec5e212079f4a62952d4c4cf04,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-031,31,31,2026-07-22_17-01-34.png,308395,4873513bc258cfb9c16e8e04087c4464df3d254198cd0b31ad4f7274d7ce19dc,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
GM-032,32,32,2026-07-22_17-03-34.png,301642,4c76d7d1ea3bf6730d6a9fec10d88f15d90c24fc3ddf500a328cb950f74a1289,"chronological order of the 32 supplied published-frame captures, aligned to the Studio register that omits 10 and contains two distinct records numbered 12"
